objid,specobjid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,plate,mjd,fiberid,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,class,u_g,g_r,r_i,i_z
1.24e+18,4e+17,257.5803997,57.73713503,19.12095,17.45467,16.69093,16.27564,15.98684,1336.0,301.0,2.0,59.0,355.0,51788.0,382.0,6.820802,8.055569,7.237218,7.436474,6.947529,20.08582,113.895,293.54,201.8577,337.3242,3.611028,4.194824,3.712471,3.760806,3.261748,21.51286,18.71256,19.7286,18.41304,18.10575,0.6119923,0.7999328,0.7665408,0.7564325,0.6716914,0.1215065,GALAXY,1.6662800000000004,0.7637399999999985,0.4152900000000024,0.2887999999999984
1.24e+18,5.53e+17,173.0601942,67.0794491,19.33674,17.55355,16.73648,16.3524,16.07656,1350.0,301.0,4.0,338.0,491.0,51942.0,640.0,2.740146,3.170864,3.056211,3.08121,3.222014,17.6304,89.79877,263.1386,188.2367,344.8851,1.512204,1.428262,1.372779,1.399066,1.43604,20.07975,17.53072,18.29933,17.13845,16.84237,0.5138818,0.3761492,0.3855544,0.3879333,0.3856355,0.05460129,GALAXY,1.7831899999999976,0.8170700000000011,0.38408000000000087,0.27583999999999875
1.24e+18,5.47e+17,145.6886468,61.63231613,18.00349,16.34079,15.57495,15.21426,14.94832,1412.0,301.0,3.0,52.0,486.0,51910.0,513.0,19.924,7.674588,7.629596,7.753806,6.724119,68.44012,254.6721,671.4183,491.3121,834.744,4.425204,3.828172,3.469877,3.619075,3.330897,20.29956,17.7647,18.57455,17.47542,17.16114,0.9227153,0.8323625,0.8305643,0.882593,0.8649143,0.03893123,GALAXY,1.662700000000001,0.765839999999999,0.36068999999999996,0.26593999999999873
1.24e+18,8.47e+17,3.479739773,14.07750078,17.64417,16.31789,15.75203,15.4655,15.2469,1904.0,301.0,1.0,173.0,752.0,52251.0,139.0,12.04416,12.08909,11.54893,12.19069,11.25917,77.04468,287.3466,586.4431,482.7615,691.1738,5.496876,5.983131,5.529718,5.893091,5.322625,20.65566,19.0879,19.55884,18.77367,18.49134,0.6674427,0.6998207,0.7116502,0.7331143,0.7608277,0.04275906,GALAXY,1.3262800000000006,0.5658599999999989,0.28652999999999906,0.21860000000000035
1.24e+18,8.32e+17,339.5441507,14.44058876,18.51696,17.07081,16.31705,15.9046,15.57092,1739.0,301.0,5.0,170.0,739.0,52520.0,405.0,8.420858,8.375136,8.116402,8.724359,8.262316,40.00097,147.4748,417.7539,288.905,576.3043,3.886185,3.887145,3.710005,3.772289,3.749208,20.8555,18.79631,19.51736,18.45412,18.16032,0.3551873,0.3322178,0.3240963,0.3225827,0.3200955,0.03598876,GALAXY,1.4461499999999994,0.7537600000000033,0.412449999999998,0.3336800000000011
1.24e+18,5.22e+17,58.91166572,-6.08491189,19.55397,17.86414,16.84835,16.36691,16.01267,1045.0,301.0,3.0,166.0,464.0,51908.0,257.0,2.970501,8.553274,7.714003,8.09236,7.380648,20.80715,65.89558,225.1392,153.5206,295.1533,5.850758,3.696804,3.023796,3.302644,2.881987,21.34371,18.78114,19.74648,18.32187,17.93912,0.4199829,0.4729721,0.476337,0.4782775,0.5143064,0.1232409,GALAXY,1.6898300000000006,1.015789999999999,0.4814399999999992,0.3542400000000008
1.24e+18,3.32e+18,228.7590903,2.501792154,19.18582,18.53263,18.58266,18.47565,18.38293,1458.0,301.0,5.0,694.0,2952.0,54559.0,375.0,1.632634,13.64156,1.996327,1.876423,2.16252,19.60096,36.5946,40.60393,35.00111,48.06547,0.8721655,0.9149694,0.9164225,0.8836328,1.027705,19.60551,19.08715,18.98112,19.03352,18.95825,0.6764023,0.7267024,0.6192438,0.6467118,0.660313,0.03666314,GALAXY,0.6531899999999986,-0.050029999999999575,0.10700999999999894,0.09271999999999991
1.24e+18,3.55e+17,235.1105307,0.458515597,19.31298,17.99732,17.26361,16.85847,16.53557,752.0,301.0,5.0,612.0,315.0,51663.0,508.0,4.707221,4.585439,4.743406,4.809437,5.082836,17.54305,62.40577,171.8121,119.1577,241.1203,2.24527,2.401749,2.360873,2.419823,2.528357,20.98802,19.12136,19.91293,18.88706,18.38258,0.5999329,0.8066183,0.8363784,0.799999,0.7861446,0.09336282,GALAXY,1.3156600000000012,0.7337099999999985,0.4051399999999994,0.32290000000000063
1.24e+18,5.82e+17,181.076105,1.69993493,19.16129,17.50888,16.77371,16.44398,16.18417,1462.0,301.0,2.0,372.0,517.0,52024.0,299.0,8.382485,6.08355,5.734562,6.078057,5.255731,25.02859,98.74298,252.7592,193.164,289.2616,3.491166,2.892992,2.751586,2.877683,2.510024,20.8757,18.91014,19.39395,18.7418,18.17918,0.739233,0.6723824,0.6508112,0.6474858,0.6651356,0.02266375,GALAXY,1.6524099999999997,0.7351700000000001,0.3297300000000014,0.2598099999999981
1.24e+18,3.06e+17,155.9057581,-0.456405253,19.40532,17.89528,17.04847,16.59534,16.33259,756.0,301.0,2.0,268.0,272.0,51941.0,199.0,8.772144,8.72676,7.526077,7.679532,6.750077,22.36337,80.73502,228.5682,155.1395,263.6656,4.079404,4.077329,3.453594,3.525151,3.083432,21.87562,19.34868,20.33143,18.82279,18.49838,0.7682542,0.7190606,0.7170705,0.6956955,0.7115857,0.1602293,GALAXY,1.51004,0.8468100000000014,0.45312999999999803,0.2627500000000005
1.24e+18,5.11e+17,38.08703411,-8.383845488,19.57309,17.8303,16.86016,16.36899,16.02308,1729.0,301.0,4.0,334.0,454.0,51908.0,635.0,2.969944,6.430795,4.544051,5.192418,5.008227,18.99424,74.01025,261.0452,173.4263,334.2227,3.849086,2.343112,1.976822,2.12851,1.832932,20.86743,18.2467,19.08452,17.74817,17.33562,0.5222862,0.6645126,0.6420667,0.6626412,0.6599715,0.1380095,GALAXY,1.7427899999999994,0.9701400000000007,0.49117000000000033,0.34590999999999994
1.24e+18,3.7e+17,177.0751725,-3.117006917,18.40413,16.5897,15.7189,15.25766,14.92059,1231.0,301.0,2.0,52.0,329.0,52056.0,187.0,9.047242,8.791548,8.065144,8.373241,7.549355,49.63984,246.4228,783.2172,531.6547,1054.757,4.119602,3.84689,3.470348,3.672644,3.392419,20.34924,17.57267,18.42144,17.27997,16.73966,0.2767491,0.2829503,0.2803349,0.2845111,0.3216275,0.05886507,GALAXY,1.814429999999998,0.8708000000000009,0.4612400000000001,0.33706999999999887
1.24e+18,5.68e+17,157.0305144,2.187829087,18.40563,17.11513,16.49749,16.1406,15.94353,1458.0,301.0,3.0,215.0,504.0,52316.0,490.0,16.53442,6.804731,6.544363,6.799596,7.018208,48.47683,140.206,326.5991,242.6572,411.5847,3.69148,3.388756,3.270128,3.353282,3.51926,20.89476,19.08505,19.61256,18.84875,18.40156,0.6470331,0.6224419,0.6192169,0.6221164,0.6184881,0.06386624,GALAXY,1.290499999999998,0.6176400000000015,0.35688999999999993,0.1970699999999983
1.24e+18,5.74e+17,169.686342,2.908357317,19.47458,18.15128,18.75317,19.52069,19.38863,1462.0,301.0,5.0,296.0,510.0,52381.0,635.0,1.513074,1.616581,7.325195,6.922393,18.02085,18.18897,83.69997,30.04808,52.84715,46.44387,0.964645,1.41441,2.34807,1.773326,3.55611,19.59271,18.94225,18.26184,19.75452,19.61691,0.1000405,0.9900479,0.777194,0.8707722,0.814256,0.02032679,GALAXY,1.3232999999999997,-0.6018900000000009,-0.7675199999999975,0.13205999999999918
1.24e+18,5.04e+17,132.9652001,55.69753631,17.79233,16.5798,16.05511,15.77258,15.54607,1350.0,301.0,3.0,193.0,448.0,51900.0,181.0,6.021119,6.199959,6.340626,6.190933,6.237245,76.70991,235.9239,506.1278,383.8088,588.1164,2.822526,2.902382,2.86557,2.845899,2.695465,19.30419,17.68825,18.14721,17.48777,17.07723,0.5323769,0.508925,0.5131585,0.4990152,0.4923971,0.03173731,GALAXY,1.212530000000001,0.5246899999999997,0.2825299999999995,0.22650999999999932
1.24e+18,5.73e+17,166.8444822,2.946079005,18.70204,17.7123,17.32257,17.00998,16.8715,1462.0,301.0,5.0,277.0,509.0,52374.0,348.0,2.655822,3.315381,3.477103,3.546146,3.434272,30.83035,82.21091,163.2478,124.0847,182.9173,1.368607,1.560417,1.588813,1.616682,1.587633,19.3035,18.26106,18.4554,18.00836,17.84762,0.7702787,0.6844148,0.6282345,0.6551549,0.6746531,0.05820583,GALAXY,0.9897400000000012,0.38973000000000013,0.31259000000000015,0.13847999999999772
1.24e+18,5.54e+17,174.4940174,66.26684101,18.2668,16.99807,16.43835,16.14986,15.97922,1412.0,301.0,1.0,141.0,492.0,51955.0,241.0,10.79028,10.94251,10.88104,11.1252,9.824698,48.2102,151.4045,314.9803,246.6173,282.5035,5.521452,5.474746,5.146792,5.347067,4.114065,21.33812,19.57281,20.14884,19.3459,19.06963,0.7781298,0.7539025,0.7805007,0.7775143,0.7465773,0.05271566,GALAXY,1.2687300000000015,0.5597199999999987,0.28848999999999947,0.17064000000000057
1.24e+18,5.87e+17,190.9051585,1.98328745,19.52119,17.61049,16.53962,16.09541,15.69658,1458.0,301.0,2.0,441.0,521.0,52326.0,66.0,5.22076,7.798105,6.584378,7.155842,7.857109,8.169746,90.54345,331.4147,228.5135,487.2182,1.578817,3.212948,2.769764,2.939888,2.911317,20.96007,18.18813,19.11909,17.76718,17.2825,0.5878222,0.5865751,0.6167532,0.5907425,0.5930042,0.1364268,GALAXY,1.910700000000002,1.0708699999999993,0.4442099999999982,0.39883000000000024
1.24e+18,4.9e+17,117.4806418,40.64178219,18.83076,17.20382,16.29785,15.89916,15.56547,1345.0,301.0,5.0,65.0,435.0,51882.0,351.0,18.01889,9.49917,8.469935,9.297975,8.69628,28.50286,91.02476,264.2765,191.7897,359.6076,5.497426,4.549459,3.962083,4.174579,4.160329,21.71321,18.97559,19.90747,18.55782,18.22987,0.9531566,0.8691432,0.9287094,0.8824787,0.8149602,0.09604736,GALAXY,1.6269400000000012,0.9059699999999999,0.3986900000000002,0.3336900000000007
1.24e+18,5.56e+17,188.0567614,66.35828799,19.38984,17.65193,16.84768,16.465,16.15538,1350.0,301.0,1.0,378.0,494.0,51915.0,87.0,3.357217,3.095294,2.947757,2.968866,2.992917,17.26558,81.759,241.4907,171.2738,319.3994,1.489692,1.4259,1.391421,1.391766,1.340121,20.09554,17.59437,18.39945,17.19675,16.91162,0.6642153,0.5469148,0.5604171,0.541328,0.5336904,0.04620678,GALAXY,1.7379099999999994,0.8042499999999997,0.3826800000000006,0.3096199999999989
1.24e+18,5.03e+17,132.8707232,51.9943145,18.53084,16.59331,15.60658,15.16636,14.81602,1345.0,301.0,2.0,168.0,447.0,51877.0,119.0,11.82982,9.674397,8.975194,9.073009,8.747468,46.55908,221.971,751.3344,512.1094,1014.185,5.219812,4.157407,3.714477,3.789014,3.559706,20.37911,17.41681,18.61326,17.01538,16.72995,0.5648022,0.5740812,0.5791318,0.5660321,0.6195844,0.08771403,GALAXY,1.9375300000000024,0.9867299999999997,0.44022000000000006,0.3503399999999992
1.24e+18,5.55e+17,182.723171,66.92404174,16.18442,14.56773,13.81275,13.40742,13.10445,1412.0,301.0,2.0,163.0,493.0,51957.0,165.0,28.34117,24.10125,21.17509,21.88541,21.05311,470.5065,1691.941,4292.091,3043.521,5722.646,12.84622,10.93537,9.405391,9.726586,9.380811,19.92646,17.26176,18.22596,16.98847,16.61415,0.2999469,0.2758275,0.2776247,0.2732523,0.2748076,0.02255523,GALAXY,1.6166900000000002,0.7549799999999998,0.4053299999999993,0.3029700000000002
1.24e+18,5.03e+17,130.5795863,52.81988717,17.84348,16.6548,16.20574,15.94065,15.79785,1331.0,301.0,6.0,190.0,447.0,51877.0,335.0,9.751521,9.600756,9.825091,10.24281,8.803934,44.13757,150.0828,281.9414,230.8703,257.9016,3.452215,4.252054,4.105236,4.355361,3.065749,20.10458,18.62134,19.0253,18.48709,18.30334,0.7088878,0.6351765,0.6905169,0.6639884,0.7262434,0.04525756,GALAXY,1.188679999999998,0.4490600000000029,0.26508999999999894,0.14279999999999937
1.24e+18,4.93e+17,121.195693,47.83585197,19.54359,18.01954,17.23695,16.77273,16.48199,1350.0,301.0,5.0,122.0,438.0,51884.0,377.0,6.439601,6.60586,5.783955,6.133931,4.854206,16.18643,67.59509,206.1006,136.9083,226.2084,2.572076,2.885496,2.564234,2.669871,2.202778,21.35092,19.141,19.61337,18.68623,18.1177,0.4154284,0.536079,0.5816587,0.6280051,0.6411176,0.1103345,GALAXY,1.524049999999999,0.782589999999999,0.46422000000000097,0.29073999999999955
1.24e+18,4.97e+17,123.550362,45.91951982,19.1329,18.01598,17.55505,17.25189,17.00529,1331.0,301.0,4.0,135.0,441.0,51868.0,316.0,6.593969,6.320435,5.268121,5.598144,6.014134,26.16892,71.43591,125.8979,99.00605,173.8061,2.986722,2.92604,2.46361,2.579061,2.753635,21.07605,19.66396,20.01795,19.3239,19.1066,0.3724538,0.4449102,0.448493,0.4605164,0.4688969,0.04561974,GALAXY,1.1169200000000004,0.4609299999999976,0.3031600000000019,0.24660000000000082
1.24e+18,3.39e+17,209.3931968,-0.978356945,18.97819,17.28354,16.32373,15.89531,15.5463,756.0,301.0,1.0,625.0,301.0,51942.0,135.0,43.76305,10.05842,9.023033,9.437349,8.445577,38.5383,106.7516,307.0338,222.8906,356.0805,6.584277,5.059603,4.196551,4.497485,3.550423,21.70352,18.78822,19.83289,18.31511,17.86703,0.7938779,0.8733795,0.7302614,0.7228349,0.6352407,0.114918,GALAXY,1.6946500000000029,0.9598099999999974,0.4284200000000009,0.3490099999999998
1.24e+18,4.71e+17,8.945535687,13.98373266,17.54946,16.04932,15.36336,14.97492,14.71889,1904.0,301.0,1.0,208.0,418.0,51817.0,244.0,15.00596,16.14377,15.30035,15.98837,13.99275,79.97233,396.9737,961.8838,720.0107,1119.75,5.860307,7.33534,6.438886,6.915602,5.701293,20.98441,19.03617,19.59797,18.6318,18.19199,0.3568191,0.3678389,0.3653057,0.3652119,0.4112111,0.03674115,GALAXY,1.5001399999999983,0.6859600000000015,0.388440000000001,0.2560299999999991
